lookbacks,weights,rebalance_band,algo_dollar_limit,default_dollar_limit,signal_clip,momentum_lookback,momentum_weight,regime_vol_short,regime_vol_long,regime_threshold,regime_scale,signal_ema_alpha,xs_lookback,xs_weight,xs_include_algo,pairs_lookback,pairs_weight,pairs_entry_z,algo_signal_scale,algo_hedge_weight,ols_lookback,ols_weight,ols_entry_z,ols_intercept,mpairs_lookback,mpairs_weight,mpairs_top_k,mpairs_entry_z,mpairs_min_corr,leadlag_lookback,leadlag_min_obs,leadlag_weight,leadlag_top_k,leadlag_entry_z,leadlag_min_corr,adaptive_band_vol_lb,adaptive_band_scale,signal_clip_long,signal_clip_short,vol_target_lookback,vol_target_floor,vol_target_cap,label,score,mean_pl,sharpe,dvol,fold1,fold2,fold3,robust
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,120,80,0.5,3,0.0,0.06,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=120@0.50k3z0.00c0.06 adapt=10@2.00 vt=20@0.70-2.00,61.68,106.05,1.179,43497507.0,32.04,145.49,0.26,True
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,0,80,1.0,5,0.0,0.03,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=0@1.00k5z0.00c0.03 adapt=10@2.00 vt=20@0.70-2.00,55.71,100.5,1.115,76082546.0,16.93,11.19,125.06,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,0,80,1.0,5,0.0,0.06,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=0@1.00k5z0.00c0.06 adapt=10@2.00 vt=20@0.70-2.00,55.71,100.5,1.115,76082546.0,16.93,11.19,125.06,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,0,80,1.0,5,0.5,0.03,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=0@1.00k5z0.50c0.03 adapt=10@2.00 vt=20@0.70-2.00,40.26,83.38,0.966,74582921.0,99.21,1.83,99.35,True
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,0,80,1.0,5,0.5,0.06,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=0@1.00k5z0.50c0.06 adapt=10@2.00 vt=20@0.70-2.00,40.26,83.38,0.966,74582921.0,99.21,1.83,99.35,True
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,0,80,0.75,5,0.0,0.03,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=0@0.75k5z0.00c0.03 adapt=10@2.00 vt=20@0.70-2.00,36.5,74.1,0.985,58290844.0,23.98,58.38,31.91,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,0,80,0.75,5,0.0,0.06,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=0@0.75k5z0.00c0.06 adapt=10@2.00 vt=20@0.70-2.00,36.5,74.1,0.985,58290844.0,23.98,58.38,31.91,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,120,80,1.0,1,0.0,0.03,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=120@1.00k1z0.00c0.03 adapt=10@2.00 vt=20@0.70-2.00,36.45,85.29,0.864,104590959.0,41.09,-132.94,212.32,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,120,80,1.0,1,0.0,0.06,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=120@1.00k1z0.00c0.06 adapt=10@2.00 vt=20@0.70-2.00,36.45,85.29,0.864,104590959.0,41.09,-132.94,212.32,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,0,80,0.75,5,0.5,0.03,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=0@0.75k5z0.50c0.03 adapt=10@2.00 vt=20@0.70-2.00,26.31,62.63,0.851,56860612.0,81.4,49.49,23.02,True
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,0,80,0.75,5,0.5,0.06,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=0@0.75k5z0.50c0.06 adapt=10@2.00 vt=20@0.70-2.00,26.31,62.63,0.851,56860612.0,81.4,49.49,23.02,True
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,120,80,0.5,1,0.0,0.03,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=120@0.50k1z0.00c0.03 adapt=10@2.00 vt=20@0.70-2.00,26.11,69.39,0.777,57397258.0,28.48,3.64,41.75,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,120,80,0.5,1,0.0,0.06,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=120@0.50k1z0.00c0.06 adapt=10@2.00 vt=20@0.70-2.00,26.11,69.39,0.777,57397258.0,28.48,3.64,41.75,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,120,80,0.75,1,0.0,0.03,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=120@0.75k1z0.00c0.03 adapt=10@2.00 vt=20@0.70-2.00,21.87,62.44,0.734,85062412.0,33.9,-80.31,125.88,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,120,80,0.75,1,0.0,0.06,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=120@0.75k1z0.00c0.06 adapt=10@2.00 vt=20@0.70-2.00,21.87,62.44,0.734,85062412.0,33.9,-80.31,125.88,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,0,80,1.0,1,0.0,0.03,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=0@1.00k1z0.00c0.03 adapt=10@2.00 vt=20@0.70-2.00,20.5,66.95,0.664,105514098.0,114.58,13.93,-1.04,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,0,80,1.0,1,0.0,0.06,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=0@1.00k1z0.00c0.06 adapt=10@2.00 vt=20@0.70-2.00,20.5,66.95,0.664,105514098.0,114.58,13.93,-1.04,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,0,80,0.5,1,0.0,0.03,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=0@0.50k1z0.00c0.03 adapt=10@2.00 vt=20@0.70-2.00,18.01,59.25,0.661,58606446.0,62.89,103.82,-52.61,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,0,80,0.5,1,0.0,0.06,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=0@0.50k1z0.00c0.06 adapt=10@2.00 vt=20@0.70-2.00,18.01,59.25,0.661,58606446.0,62.89,103.82,-52.61,False
"(5, 20)",,0.195,100000.0,10000.0,1.0,10,0.0,10,60,1.15,0.22,1.0,5,0.0,False,40,0.0,2.0,1.0,0.0,40,0.2,2.0,False,40,0.2,3,1.5,0.65,0,80,0.75,1,0.0,0.03,10,2.0,1.0,1.0,20,0.7,2.0,lb=5/20 w=eq band=0.195 algo=100000 reg=10/60@1.15x0.22 ols=40@0.20z2.00 mpairs=40@0.20k3z1.50c0.65 leadlag=0@0.75k1z0.00c0.03 adapt=10@2.00 vt=20@0.70-2.00,16.11,56.77,0.629,87002873.0,108.23,33.6,-34.8,False
